Timestamp,SCOP:AMRF:RF01:AI_MEAS1,SCOP:AMRF:RF03:AI_MEAS4,SCOP:AMRF:RF03:AI_MEAS4,SCOP:AMRF:RF03:AI_MEAS1,SCOP:AMRF:RF01:AI_MEAS4,SCOP:AMRF:RF01:AI_MEAS2,SCOP:AMRF:RF01:AI_MEAS3,SCOP:AMRF:RF03:AI_MEAS2,SCOP:AMRF:RF03:AI_MEAS3
2024/04/01 14:06:32.841,N/A,N/A,N/A,-0.099,N/A,N/A,N/A,-0.083,-0.089
2024/04/01 14:06:32.953,N/A,N/A,N/A,N/A,-0.087,-0.099,N/A,N/A,N/A
2024/04/01 14:06:33.541,N/A,N/A,N/A,N/A,N/A,N/A,-0.109,N/A,N/A
2024/04/01 14:06:33.922,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,-0.087,-0.093
2024/04/01 14:06:34.103,N/A,N/A,N/A,N/A,-0.085,-0.097,-0.107,N/A,N/A
2024/04/01 14:06:34.471,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.085,-0.091
2024/04/01 14:06:34.660,N/A,N/A,N/A,N/A,-0.089,-0.101,-0.113,N/A,N/A
2024/04/01 14:06:35.009,N/A,N/A,N/A,-0.105,N/A,N/A,N/A,-0.087,-0.095
2024/04/01 14:06:35.207,N/A,N/A,N/A,N/A,-0.087,N/A,N/A,N/A,N/A
2024/04/01 14:06:35.567,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.085,-0.093
2024/04/01 14:06:36.389,N/A,N/A,N/A,N/A,-0.081,N/A,-0.105,N/A,N/A
2024/04/01 14:06:36.748,N/A,N/A,N/A,-0.097,N/A,N/A,N/A,-0.081,-0.085
2024/04/01 14:06:36.944,N/A,N/A,N/A,N/A,-0.085,N/A,-0.107,N/A,N/A
2024/04/01 14:06:37.321,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.083,N/A
2024/04/01 14:06:38.077,N/A,N/A,N/A,N/A,-0.087,-0.101,-0.111,N/A,N/A
2024/04/01 14:06:38.411,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.085,N/A
2024/04/01 14:06:38.654,N/A,N/A,N/A,N/A,-0.085,-0.097,-0.109,N/A,N/A
2024/04/01 14:06:38.973,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.083,N/A
2024/04/01 14:06:39.196,N/A,N/A,N/A,N/A,N/A,-0.099,N/A,N/A,N/A
2024/04/01 14:06:39.761,N/A,N/A,N/A,N/A,-0.089,-0.101,-0.111,N/A,N/A
2024/04/01 14:06:40.109,N/A,N/A,N/A,-0.105,N/A,N/A,N/A,-0.087,-0.095
2024/04/01 14:06:40.303,N/A,N/A,N/A,N/A,-0.085,-0.097,-0.107,N/A,N/A
2024/04/01 14:06:40.648,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,-0.085,-0.093
2024/04/01 14:06:40.918,N/A,N/A,N/A,N/A,N/A,-0.099,-0.111,N/A,N/A
2024/04/01 14:06:41.269,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,N/A,N/A
2024/04/01 14:06:41.480,N/A,N/A,N/A,N/A,-0.087,-0.101,-0.109,N/A,N/A
2024/04/01 14:06:41.825,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,N/A,-0.091
2024/04/01 14:06:42.040,N/A,N/A,N/A,N/A,N/A,-0.099,-0.111,N/A,N/A
2024/04/01 14:06:42.362,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,N/A,N/A
2024/04/01 14:06:42.585,N/A,N/A,N/A,N/A,N/A,-0.101,N/A,N/A,N/A
2024/04/01 14:06:42.922,N/A,N/A,N/A,-0.101,N/A,N/A,N/A,N/A,-0.093
2024/04/01 14:06:43.144,N/A,N/A,N/A,N/A,N/A,-0.099,N/A,N/A,N/A
2024/04/01 14:06:43.478,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.083,-0.089
2024/04/01 14:06:43.704,N/A,N/A,N/A,N/A,-0.085,N/A,-0.109,N/A,N/A
2024/04/01 14:06:44.029,N/A,N/A,N/A,-0.099,N/A,N/A,N/A,N/A,-0.091
2024/04/01 14:06:44.247,N/A,N/A,N/A,N/A,-0.087,N/A,N/A,N/A,N/A
2024/04/01 14:06:44.576,N/A,N/A,N/A,-0.103,N/A,N/A,N/A,-0.087,-0.095
2024/04/01 14:06:44.797,N/A,N/A,N/A,N/A,-0.089,-0.101,-0.111,N/A,N/A
2024/04/01 14:06:45.091,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.093
2024/04/01 14:06:45.655,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.085,N/A
